Bin Center, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days
55000,0,0,0,0.00846,0,,0.019689,0,0.009558,0.012394,0.007917,0
55200,0,0,0,0,0,,0,0,0,0,0,0.005097
55400,0,0,0,0.00846,0,,0,0,0,0,0,0
55600,0,0,0,0.00846,0,,0,0,0,0.012394,0.007917,0.020386
55800,0,0,0,0,0,,0,0,0,0,0,0
56000,0.014421,0.008022,0,0.00846,0,,0,0,0,0,0.007917,0
56200,0,0.008022,0,0,0,,0,0,0.009558,0,0,0.005097
56400,0,0,0.018706,0,0,,0.019689,0,0.009558,0,0.007917,0.005097
56600,0.028842,0,0,0,0,,0.019689,0.021509,0,0.012394,0,0.01529
56800,0,0.008022,0,0,0,,0,0,0,0,0.015833,0
57000,0,0,0,0,0,,0,0,0,0.012394,0,0
57200,0,0,0,0,0,,0,0,0,0,0,0.005097
57400,0,0,0,0,0,,0,0,0,0.012394,0,0.005097
57600,0,0.008022,0,0.00846,0,,0,0,0.009558,0,0,0.005097
57800,0,0,0,0.00846,0,,0.019689,0,0,0.012394,0,0.010193
58000,0.014421,0,0,0,0,,0,0.010754,0.009558,0.024788,0,0
58200,0.014421,0,0.018706,0,0,,0,0.010754,0.009558,0,0,0
58400,0,0.008022,0.018706,0,0,,0,0,0,0.012394,0.007917,0.005097
58600,0,0.008022,0,0.016921,0,,0,0,0,0,0,0
58800,0.014421,0.008022,0,0,0,,0,0,0.009558,0,0,0.005097
59000,0.014421,0,0.018706,0,0,,0,0,0,0,0.007917,0.005097
59200,0,0,0,0,0,,0,0,0.009558,0,0,0
59400,0,0.008022,0,0,0,,0,0,0.009558,0,0.007917,0.005097
59600,0,0.008022,0,0,0,,0,0,0,0,0,0
59800,0,0.016044,0,0.00846,0,,0,0.010754,0,0,0,0
60000,0,0.016044,0,0.00846,0,,0,0,0,0,0,0
60200,0,0,0.018706,0,0,,0,0,0,0,0.015833,0
60400,0,0.008022,0,0,0,,0,0,0,0,0,0.005097
60600,0,0,0,0,0.013483,,0,0,0,0,0,0.005097
60800,0.014421,0.008022,0.018706,0,0,,0,0,0,0,0,0.005097
61000,0,0,0,0.00846,0,,0.019689,0,0,0.024788,0,0
61200,0,0,0,0.00846,0.013483,,0.019689,0,0.009558,0,0,0
61400,0,0.008022,0,0,0.013483,,0,0,0,0,0,0.005097
61600,0,0,0,0,0,,0.039377,0,0.009558,0,0.015833,0
61800,0,0,0,0,0,,0,0,0,0,0.007917,0.010193
62000,0.014421,0.008022,0,0,0.013483,,0,0,0,0,0,0
62200,0.014421,0,0.018706,0,0,,0,0,0.009558,0,0.007917,0
62400,0,0,0,0,0,,0,0,0,0,0,0
62600,0,0.008022,0,0,0,,0.019689,0,0,0.012394,0.007917,0.005097
62800,0,0.008022,0,0,0,,0,0.010754,0,0,0,0
63000,0,0,0,0.00846,0,,0,0,0.009558,0.012394,0,0
63200,0,0.008022,0,0,0,,0,0,0,0,0,0.005097
63400,0.014421,0,0.037413,0,0,,0,0,0,0,0.007917,0
63600,0,0.016044,0,0,0,,0,0.010754,0,0,0.015833,0
63800,0.014421,0.008022,0,0,0,,0,0,0,0,0,0.005097
64000,0,0,0,0,0,,0,0.010754,0,0,0.007917,0.005097
64200,0,0,0,0,0,,0.019689,0,0,0,0,0
64400,0.014421,0.008022,0.018706,0,0.013483,,0,0,0,0,0,0
64600,0,0,0,0,0,,0,0.010754,0,0.012394,0.007917,0
64800,0.014421,0,0,0,0,,0,0,0.009558,0,0,0
65000,0.014421,0,0,0,0,,0,0,0,0,0.007917,0
65200,0,0,0,0.00846,0,,0,0,0,0,0.007917,0.005097
65400,0,0.008022,0.018706,0,0,,0,0,0,0,0.007917,0
65600,0,0,0,0,0,,0,0,0,0,0,0
65800,0,0,0,0,0,,0,0,0.009558,0,0,0
66000,0,0.008022,0,0,0,,0,0,0,0,0,0
66200,0,0,0,0,0,,0,0,0.009558,0,0.007917,0
66400,0,0,0,0.00846,0,,0,0,0,0,0,0.005097
66600,0,0,0,0,0,,0.019689,0,0.009558,0,0,0.005097
66800,0,0,0,0,0,,0,0,0,0,0,0
67000,0,0,0,0,0,,0,0,0,0,0,0.005097
67200,0.028842,0.008022,0,0,0,,0,0,0.009558,0,0,0
67400,0,0,0,0,0,,0,0,0,0,0,0.005097
67600,0,0,0,0,0,,0,0,0,0,0,0
67800,0,0,0,0,0,,0,0,0,0,0.007917,0
68000,0,0,0,0,0,,0,0,0,0,0.007917,0
68200,0,0,0.018706,0,0.013483,,0,0,0,0,0,0.005097
68400,0,0,0,0,0,,0.019689,0,0,0,0.015833,0.005097
68600,0,0.008022,0,0,0,,0,0,0,0,0.007917,0.005097
68800,0,0,0,0.00846,0,,0,0,0,0,0,0.010193
69000,0.014421,0.008022,0,0,0,,0.019689,0,0.009558,0,0.015833,0.005097
69200,0.014421,0,0,0.00846,0,,0,0,0,0,0,0
69400,0,0.008022,0.018706,0,0,,0,0,0,0,0.007917,0.005097
69600,0.014421,0,0,0,0,,0,0,0,0,0,0.01529
69800,0,0,0,0,0,,0,0,0,0.012394,0,0.005097
70000,0,0,0,0,0,,0,0,0.019117,0.012394,0,0.005097
70200,0.014421,0,0,0.00846,0,,0.019689,0,0,0,0,0
70400,0,0,0,0,0,,0,0,0,0,0,0
70600,0,0,0,0.00846,0,,0,0,0.019117,0,0,0.005097
70800,0,0,0,0,0,,0,0,0,0,0,0.005097
71000,0,0,0,0,0,,0.039377,0,0,0,0.007917,0
71200,0,0,0,0,0,,0,0,0.009558,0,0.007917,0
71400,0,0,0,0,0,,0,0.010754,0,0,0,0
71600,0,0.008022,0,0,0,,0,0.010754,0.009558,0,0,0
71800,0,0.008022,0.018706,0,0,,0,0,0,0,0.007917,0.010193
72000,0,0,0,0,0,,0,0,0.009558,0,0,0
72200,0,0,0,0,0,,0,0,0,0,0,0
72400,0.014421,0,0,0,0,,0,0.010754,0,0,0,0.005097
72600,0,0.016044,0,0,0,,0.019689,0,0,0.012394,0.007917,0.005097
72800,0,0,0,0,0,,0,0,0,0,0,0
73000,0,0,0,0,0,,0,0,0,0.012394,0,0
73200,0,0,0,0,0,,0,0,0.009558,0.024788,0,0
73400,0,0,0,0,0,,0,0,0,0,0,0
73600,0,0,0,0,0,,0.019689,0,0,0,0.007917,0
73800,0.014421,0.008022,0,0,0,,0,0,0,0,0.007917,0
74000,0,0,0,0,0,,0,0,0,0,0,0.01529
74200,0.014421,0,0,0.016921,0,,0,0,0,0,0,0
74400,0,0,0,0,0,,0,0,0,0,0.007917,0
74600,0,0,0,0,0,,0,0,0,0,0,0
74800,0,0,0,0,0,,0,0,0.009558,0,0,0
75000,0,0,0,0,0,,0,0,0,0,0,0
75200,0,0.016044,0.018706,0.00846,0,,0,0,0,0,0,0
75400,0.014421,0,0,0,0,,0.019689,0,0,0,0,0
75600,0.014421,0,0,0,0,,0,0,0,0,0,0
75800,0,0,0,0.00846,0,,0,0,0,0,0,0
76000,0,0,0.018706,0,0.013483,,0,0,0.009558,0,0,0.010193
76200,0,0,0,0.00846,0,,0,0,0,0,0,0
76400,0,0,0,0,0,,0,0,0,0,0,0
76600,0,0,0,0,0,,0,0,0,0,0,0.005097
76800,0.014421,0.008022,0,0,0,,0,0,0,0,0,0.005097
77000,0,0,0,0,0,,0,0,0.009558,0,0,0.005097
77200,0,0.008022,0,0.00846,0,,0,0,0,0,0,0.005097
77400,0,0,0,0,0,,0,0,0,0,0,0.005097
77600,0,0.016044,0,0,0,,0,0.010754,0,0.012394,0.007917,0.010193
77800,0.014421,0,0,0.00846,0,,0,0,0,0,0,0
78000,0,0,0,0,0,,0.039377,0,0.009558,0,0,0
78200,0,0.008022,0,0,0.013483,,0,0,0,0,0,0.005097
78400,0,0,0.018706,0,0,,0,0,0,0,0,0
78600,0.014421,0,0,0,0,,0,0,0,0,0,0
78800,0,0,0,0,0,,0,0,0,0,0.007917,0.005097
79000,0,0,0,0,0,,0.019689,0,0,0,0,0
79200,0,0,0,0,0,,0,0.010754,0,0,0,0
79400,0,0,0,0,0,,0,0,0,0,0,0
79600,0,0,0,0.00846,0,,0,0,0,0,0.007917,0
79800,0,0,0,0,0,,0,0,0,0,0,0
80000,0,0,0,0,0,,0,0,0,0.012394,0,0
80200,0,0,0,0,0,,0,0.010754,0,0,0,0
80400,0,0,0,0,0,,0,0,0,0,0,0
80600,0,0,0,0,0.013483,,0,0,0,0,0,0
80800,0,0,0,0.00846,0,,0,0,0,0,0,0
81000,0,0,0,0,0,,0,0,0,0,0,0
81200,0.014421,0,0,0,0,,0,0,0,0,0,0
81400,0,0,0,0,0,,0.019689,0,0.009558,0,0,0.005097
81600,0,0,0,0,0,,0,0,0.009558,0,0,0
81800,0,0,0,0,0,,0,0,0,0,0,0
82000,0,0,0,0,0,,0,0,0,0,0,0
82200,0,0,0.018706,0,0,,0,0,0,0,0.007917,0
82400,0,0.008022,0,0,0,,0.019689,0,0,0,0,0
82600,0,0,0,0,0,,0,0,0,0,0,0
82800,0.014421,0,0,0.00846,0,,0,0,0,0,0,0.005097
83000,0,0,0,0,0,,0,0,0,0,0,0
83200,0,0,0,0,0,,0,0,0,0,0,0.005097
83400,0,0,0,0,0,,0,0,0,0.012394,0.007917,0
83600,0,0,0,0,0.013483,,0,0,0,0,0.007917,0.005097
83800,0,0,0,0,0,,0,0,0,0,0.007917,0
84000,0,0.008022,0,0,0,,0,0,0.009558,0,0,0
84200,0,0,0,0.00846,0,,0.019689,0,0.009558,0,0,0.005097
84400,0.014421,0,0,0,0,,0,0,0,0,0,0.005097
84600,0,0,0.018706,0,0,,0,0,0,0,0,0
84800,0.028842,0,0,0,0,,0,0,0,0,0.007917,0
85000,0,0.008022,0,0,0,,0,0,0,0,0,0.005097
85200,0,0,0,0,0,,0,0,0,0,0.007917,0
85400,0,0,0,0,0,,0,0,0,0,0,0.005097
85600,0,0,0,0,0,,0,0,0,0.012394,0,0
85800,0,0,0,0,0,,0,0,0,0,0,0
86000,0,0,0,0,0,,0,0,0,0,0.007917,0.005097
86200,0.014421,0,0.018706,0,0,,0,0,0,0,0.007917,0
86400,0,0,0,0,0,,0,0,0,0,0,0
86600,0,0.008022,0,0,0,,0.019689,0,0,0,0,0
86800,0,0.016044,0,0.00846,0,,0,0.010754,0.009558,0,0.007917,0
87000,0,0,0,0,0,,0,0,0,0,0,0
87200,0,0.008022,0,0,0,,0,0,0,0,0,0
87400,0,0,0,0.016921,0,,0,0.010754,0,0,0,0
87600,0,0.008022,0,0,0,,0,0,0,0,0,0.005097
87800,0,0,0,0,0,,0,0,0,0,0,0
88000,0.014421,0,0,0,0,,0,0,0.009558,0,0,0
88200,0,0.008022,0,0,0,,0,0,0.009558,0,0,0
88400,0,0,0,0,0,,0,0,0,0,0,0
88600,0.014421,0,0,0,0,,0,0,0,0,0,0.005097
88800,0,0,0,0,0,,0,0,0,0,0,0.005097
89000,0,0,0,0,0,,0,0,0,0,0,0
89200,0,0,0,0,0,,0,0,0,0,0,0.005097
89400,0,0,0,0,0,,0,0,0,0,0.007917,0
89600,0,0,0,0.016921,0.013483,,0,0,0,0,0,0
89800,0,0,0,0,0,,0,0,0,0,0,0
90000,0.014421,0,0,0.00846,0,,0,0,0,0,0,0
90200,0,0.008022,0,0,0,,0,0,0,0,0,0
90400,0,0,0,0,0,,0,0,0,0,0,0
90600,0,0.008022,0,0,0,,0,0,0,0,0,0
90800,0,0,0,0,0,,0,0,0,0,0.007917,0
91000,0,0.008022,0,0,0,,0,0,0,0,0,0
91200,0,0,0,0,0,,0,0,0,0.012394,0,0
91400,0.014421,0,0,0.00846,0,,0,0,0,0,0,0
91600,0,0,0,0,0,,0,0,0,0,0,0
91800,0,0.008022,0.018706,0,0,,0,0,0,0,0,0
92000,0,0.016044,0,0,0,,0,0,0,0,0,0
92200,0.014421,0,0,0,0,,0,0.010754,0,0,0,0
92400,0,0,0,0,0,,0,0,0,0,0,0.005097
92600,0,0,0.018706,0,0,,0,0,0,0.012394,0,0
92800,0,0,0,0,0,,0,0,0,0,0,0
93000,0.014421,0,0,0,0,,0,0,0,0,0,0
93200,0,0,0,0,0,,0,0,0,0,0,0
93400,0,0,0,0,0,,0,0.010754,0,0,0,0
93600,0,0.008022,0,0,0,,0,0,0,0.012394,0.007917,0.005097
93800,0,0,0,0.00846,0,,0,0,0,0,0,0.005097
94000,0,0,0,0,0,,0,0,0,0,0,0.005097
94200,0,0,0,0,0,,0,0,0,0,0,0
94400,0,0.008022,0,0,0,,0,0,0,0,0,0
94600,0,0,0,0,0,,0,0,0,0,0,0
94800,0,0,0,0,0,,0,0,0,0,0,0
95000,0,0.008022,0,0,0,,0,0,0,0,0,0
95200,0,0,0,0,0,,0,0,0,0,0,0
95400,0,0,0,0.00846,0,,0,0,0,0,0,0
95600,0.014421,0,0,0,0,,0,0,0,0,0,0
95800,0,0,0,0,0,,0,0,0,0,0,0
96000,0,0,0,0,0,,0,0,0,0,0,0
96200,0,0,0.018706,0,0,,0,0,0,0,0,0
96400,0,0,0,0.00846,0,,0,0,0,0,0,0
96600,0,0.008022,0,0,0,,0,0,0,0,0,0
96800,0,0.008022,0,0,0,,0,0,0,0,0,0
97000,0,0,0,0.00846,0,,0,0,0,0,0.015833,0
97200,0,0.008022,0,0,0,,0,0,0,0,0.007917,0
97400,0.014421,0,0.018706,0,0,,0,0,0,0,0,0
97600,0,0.008022,0,0,0,,0,0,0,0.012394,0,0.005097
97800,0,0,0,0,0,,0,0.010754,0,0,0.007917,0
98000,0,0,0,0,0,,0,0,0,0,0,0
98200,0,0,0,0,0,,0,0,0,0,0,0
98400,0,0,0,0.00846,0,,0,0,0.019117,0,0,0
98600,0,0,0,0,0,,0,0,0.009558,0,0,0
98800,0,0,0,0.00846,0,,0,0,0,0,0,0
99000,0,0,0,0,0,,0.019689,0,0,0,0,0
99200,0,0,0,0,0,,0,0,0,0,0,0
99400,0,0,0,0,0,,0.019689,0,0,0,0,0
99600,0,0.016044,0,0,0,,0,0,0,0,0,0
99800,0,0,0,0,0,,0,0,0,0,0,0
100000,0,0,0,0,0,,0,0,0,0,0,0
100200,0,0,0,0,0,,0,0,0,0,0,0
100400,0,0,0,0,0,,0,0,0,0,0,0.005097
100600,0,0,0,0,0,,0,0,0,0,0,0
100800,0,0,0,0.00846,0,,0,0,0,0,0,0
101000,0,0,0,0,0,,0,0,0,0,0,0
101200,0.014421,0.008022,0,0,0,,0,0,0,0,0,0
101400,0,0.008022,0,0,0,,0,0,0,0,0,0
101600,0,0,0,0,0,,0,0,0,0,0,0
101800,0,0,0,0,0,,0,0,0,0,0,0
102000,0,0,0,0,0,,0,0,0,0,0,0
102200,0,0,0,0,0,,0,0.010754,0,0,0,0
102400,0,0.008022,0,0.00846,0,,0,0,0,0.012394,0,0
102600,0,0.008022,0,0,0,,0,0,0,0,0,0
102800,0,0,0,0,0,,0,0,0,0,0,0.010193
103000,0,0,0,0,0,,0,0,0,0,0,0
103200,0,0,0,0,0,,0,0,0,0,0,0
103400,0,0,0,0.00846,0,,0,0,0,0,0,0.005097
103600,0,0,0,0,0,,0,0,0,0.012394,0,0
103800,0,0,0,0,0,,0,0,0,0,0,0
104000,0,0.008022,0,0,0,,0,0,0,0,0,0
104200,0,0,0,0.00846,0,,0,0,0,0,0,0
104400,0,0,0,0,0,,0,0,0,0,0,0
104600,0,0,0.018706,0,0,,0,0,0,0,0,0
104800,0,0,0,0,0,,0,0,0,0,0,0
105000,0,0,0,0,0,,0,0,0,0,0,0.005097
105200,0,0,0,0,0,,0,0,0,0,0,0.005097
105400,0.014421,0.008022,0,0,0,,0,0,0,0,0,0
105600,0,0,0,0,0,,0,0,0,0,0.007917,0
105800,0,0,0,0,0,,0.019689,0,0,0,0,0
106000,0,0,0,0,0,,0,0,0,0.012394,0,0
106200,0,0,0,0.00846,0,,0,0,0,0,0,0
106400,0,0,0,0,0,,0,0.010754,0,0,0,0.005097
106600,0,0,0,0,0,,0,0,0,0,0.007917,0
106800,0.014421,0,0,0,0,,0,0,0,0,0,0
107000,0,0,0,0,0,,0,0,0,0,0,0
107200,0,0,0,0.00846,0,,0,0,0,0,0,0
107400,0.014421,0,0,0.00846,0,,0,0,0,0,0,0
107600,0,0.008022,0,0,0,,0,0,0,0,0,0
107800,0,0,0.018706,0,0,,0,0,0,0,0,0
108000,0,0,0,0,0,,0,0,0,0,0.007917,0.005097
108200,0,0,0,0,0,,0,0,0,0,0,0
108400,0,0,0,0,0,,0,0,0.009558,0,0,0.005097
108600,0,0,0,0,0,,0,0,0.009558,0,0,0
108800,0,0,0,0.00846,0,,0,0,0,0,0,0
109000,0,0,0,0,0,,0,0.010754,0,0,0,0.005097
109200,0.014421,0,0,0,0,,0,0,0,0,0,0
109400,0,0,0,0,0,,0,0,0,0,0,0
109600,0.014421,0,0,0,0,,0,0,0,0,0,0
109800,0,0,0,0,0,,0,0,0,0,0,0
110000,0,0,0,0,0.013483,,0,0,0,0,0,0
110200,0,0,0,0,0,,0,0,0,0.012394,0,0
110400,0,0,0,0.00846,0,,0,0,0,0,0,0
110600,0,0,0,0,0,,0,0,0,0,0,0
110800,0,0,0,0,0,,0,0,0,0,0.007917,0
111000,0,0,0,0.00846,0,,0,0,0,0,0,0
111200,0,0,0.018706,0,0,,0,0,0,0,0,0
111400,0,0,0,0,0,,0,0,0,0,0,0
111600,0,0,0,0,0,,0,0.010754,0,0,0,0
111800,0,0,0,0,0,,0,0,0,0,0,0
112000,0,0,0,0,0,,0,0,0,0,0,0
112200,0,0,0,0,0,,0,0,0,0.012394,0,0.005097
112400,0,0,0,0,0,,0.019689,0,0.009558,0,0,0
112600,0,0,0,0,0,,0,0,0,0,0,0
112800,0,0,0,0.00846,0,,0,0,0,0,0,0
113000,0,0,0,0,0,,0,0.010754,0,0,0,0.005097
113200,0,0,0,0,0,,0,0,0,0,0,0
113400,0,0,0,0,0,,0,0,0,0,0,0
113600,0,0,0,0,0,,0,0,0,0,0,0
113800,0.014421,0,0,0.00846,0,,0,0,0,0,0,0
114000,0.014421,0,0,0,0,,0,0,0,0,0,0
114200,0,0,0,0,0,,0,0,0,0,0,0
114400,0,0,0,0,0,,0,0,0,0,0,0
114600,0.014421,0,0,0,0,,0,0,0,0,0,0
114800,0,0,0,0,0,,0.019689,0,0,0,0,0
115000,0,0,0,0,0,,0,0.010754,0,0,0,0
115200,0,0,0,0,0,,0,0,0,0,0,0
115400,0,0.008022,0,0,0,,0,0,0,0,0,0.005097
115600,0,0,0,0,0,,0,0.010754,0,0,0,0
115800,0,0,0,0,0,,0,0,0,0,0,0.005097
116000,0,0,0,0,0,,0.019689,0,0,0,0,0
116200,0,0,0,0,0,,0.019689,0,0.009558,0,0,0
116400,0,0,0,0,0,,0,0.010754,0,0,0,0
116600,0,0,0,0,0,,0,0,0,0,0,0
116800,0,0,0,0,0,,0,0,0,0,0,0
117000,0,0,0,0,0,,0,0,0,0,0,0.005097
117200,0,0,0,0,0,,0,0,0,0,0,0
117400,0,0,0,0,0,,0.019689,0,0,0,0.007917,0
117600,0,0,0,0,0,,0,0,0,0,0,0
117800,0,0.008022,0,0,0,,0,0,0,0,0,0
118000,0,0,0,0,0,,0,0,0,0,0,0
118200,0,0,0,0,0,,0,0,0,0,0,0
118400,0.014421,0,0,0,0,,0,0,0,0,0.007917,0
118600,0,0.008022,0.018706,0,0,,0,0,0,0,0,0
118800,0,0,0,0,0,,0,0,0,0,0,0
119000,0,0,0,0,0,,0,0,0,0,0,0
119200,0,0,0,0,0,,0,0,0,0,0,0
119400,0,0.008022,0.018706,0,0,,0,0,0,0,0,0
119600,0,0,0,0,0,,0,0,0,0,0.007917,0
119800,0,0,0,0,0,,0,0,0,0,0.007917,0
120000,0.014421,0,0,0,0,,0,0,0,0,0.007917,0
120200,0,0,0,0,0,,0,0,0,0,0,0
120400,0,0,0,0,0,,0,0,0,0,0,0
120600,0,0,0,0,0,,0,0,0,0,0,0
120800,0,0,0,0,0,,0,0,0,0,0,0
121000,0,0.008022,0,0,0,,0,0,0,0,0,0
121200,0,0,0,0,0,,0,0,0,0,0.007917,0
121400,0.014421,0,0,0,0,,0,0,0,0,0,0
121600,0.014421,0,0,0,0,,0,0,0,0,0,0
121800,0,0,0,0,0,,0,0,0,0,0,0
122000,0,0,0,0,0,,0,0,0,0,0,0
122200,0,0,0,0,0,,0,0,0,0,0,0
122400,0,0,0,0,0,,0,0,0,0,0,0
122600,0,0,0,0,0,,0,0,0,0,0,0
122800,0.014421,0,0,0,0,,0,0,0,0,0,0
123000,0,0,0,0,0,,0,0,0,0,0.007917,0
123200,0,0.008022,0,0,0,,0,0,0,0,0,0
123400,0,0,0.018706,0,0,,0,0,0,0,0,0
123600,0,0,0,0,0,,0,0,0,0,0.007917,0
123800,0,0,0,0,0,,0,0,0,0,0,0
124000,0,0,0,0,0,,0,0,0,0,0,0
124200,0,0,0,0,0,,0,0,0,0,0,0
124400,0,0,0,0,0,,0,0,0,0,0,0
124600,0,0,0,0,0,,0,0,0,0,0,0.005097
124800,0,0,0,0,0,,0,0,0.009558,0,0,0.005097
125000,0,0,0,0,0,,0,0,0,0,0,0.005097
125200,0,0,0,0,0,,0,0,0,0,0,0
125400,0,0,0,0,0,,0,0,0,0,0,0
125600,0,0,0,0,0,,0,0,0,0,0,0
125800,0,0,0,0,0,,0,0,0,0,0,0
126000,0,0,0,0.00846,0,,0,0,0,0,0,0
126200,0,0,0,0.00846,0,,0,0,0,0,0,0
126400,0.014421,0,0,0,0,,0,0,0,0,0,0
126600,0,0,0,0,0,,0,0,0,0,0.007917,0.005097
126800,0,0,0,0,0,,0,0,0,0,0,0.005097
127000,0,0,0,0,0,,0,0,0,0,0,0.005097
127200,0,0,0,0,0,,0.019689,0,0,0,0,0
127400,0,0,0,0,0,,0,0.010754,0,0,0,0.005097
127600,0,0,0,0,0,,0,0,0,0,0,0
127800,0,0,0,0,0,,0.019689,0,0,0,0,0
128000,0,0,0,0,0,,0,0,0,0,0,0
128200,0,0,0,0,0,,0,0,0.009558,0,0,0
128400,0,0,0,0,0,,0,0,0,0,0,0
128600,0,0,0,0,0,,0,0,0,0,0,0
128800,0,0.008022,0,0,0,,0,0,0,0,0,0
129000,0,0,0,0,0,,0,0,0,0,0,0
129200,0,0,0,0,0,,0,0,0,0,0,0
129400,0,0,0,0,0,,0,0,0,0,0,0
129600,0,0,0,0,0,,0,0,0,0,0.007917,0
129800,0,0,0,0,0,,0,0,0,0.012394,0,0
130000,0,0,0,0,0,,0,0,0,0,0,0
130200,0,0,0,0.00846,0,,0,0,0,0,0,0.005097
130400,0,0,0,0,0,,0,0,0,0,0,0
130600,0,0,0,0,0,,0,0,0,0,0,0
130800,0,0,0,0,0,,0,0,0,0,0,0
131000,0,0,0,0.016921,0,,0,0,0,0,0,0.005097
131200,0,0,0,0,0,,0,0,0,0,0.015833,0
131400,0,0,0,0,0,,0,0,0,0,0,0
131600,0,0,0,0,0,,0,0,0,0,0,0
131800,0,0,0,0,0,,0,0,0,0,0,0
132000,0,0,0,0.00846,0,,0,0,0,0,0,0
132200,0,0.008022,0,0,0,,0,0,0,0,0,0
132400,0,0,0,0,0,,0.019689,0,0,0,0,0
132600,0,0,0,0,0,,0,0,0,0,0,0
132800,0,0,0,0,0,,0,0,0,0,0,0
133000,0,0,0,0,0,,0,0,0,0,0,0
133200,0,0,0,0,0,,0,0,0,0,0,0
133400,0,0,0,0.00846,0,,0,0,0,0,0,0
133600,0,0,0,0,0,,0,0,0,0,0,0.005097
133800,0.014421,0,0,0,0,,0,0,0,0,0,0
134000,0,0,0,0,0.013483,,0,0,0,0,0,0
134200,0,0,0,0,0,,0,0,0,0,0,0
134400,0,0,0,0,0,,0,0,0,0,0,0
134600,0,0,0,0,0,,0,0,0,0,0,0
134800,0,0,0.018706,0,0,,0,0,0,0,0,0
135000,0,0,0.018706,0,0,,0,0,0,0,0,0
135200,0,0,0,0,0,,0,0.010754,0,0,0,0
135400,0,0,0,0,0,,0,0,0,0,0,0
135600,0,0,0,0,0,,0,0,0,0,0,0
135800,0,0,0,0,0,,0,0,0,0,0,0
136000,0,0,0,0,0,,0,0,0,0,0,0
136200,0,0,0,0,0,,0,0,0,0,0,0
136400,0,0,0,0,0,,0,0.010754,0,0,0,0.005097
136600,0,0,0,0,0,,0,0,0,0,0,0
136800,0.014421,0,0,0,0,,0,0,0,0,0,0
137000,0,0,0,0,0,,0,0,0,0,0.007917,0
137200,0,0,0.018706,0,0,,0,0,0,0,0,0
137400,0,0,0,0.00846,0,,0,0,0,0,0,0
137600,0.014421,0,0,0,0,,0,0,0,0,0,0
137800,0,0,0,0,0,,0,0,0,0,0,0
138000,0,0.008022,0,0,0,,0,0,0,0,0,0
138200,0.014421,0,0,0,0,,0,0.010754,0,0,0,0
138400,0,0,0,0,0,,0,0,0,0,0,0
138600,0,0.008022,0,0,0,,0,0,0,0,0,0
138800,0,0,0,0,0,,0,0,0,0,0,0
139000,0,0,0,0,0,,0,0,0,0,0,0
139200,0,0.008022,0,0,0,,0,0,0,0,0,0
139400,0,0,0,0,0,,0,0,0,0,0,0
139600,0,0,0,0,0,,0,0,0,0,0,0
139800,0,0,0,0,0,,0,0,0,0,0,0
140000,0,0,0,0,0,,0,0,0,0,0,0
140200,0,0,0,0,0,,0,0,0,0,0.007917,0
140400,0,0,0,0,0,,0,0,0,0,0,0
140600,0.014421,0,0,0,0,,0,0,0,0,0,0
140800,0,0,0,0,0,,0,0,0,0,0,0
141000,0,0,0,0,0,,0,0,0,0,0,0.005097
141200,0,0,0,0,0,,0,0,0,0,0,0.005097
141400,0,0,0,0,0,,0,0,0,0,0,0
141600,0,0,0,0,0,,0,0,0,0.012394,0,0
141800,0,0,0,0,0,,0,0,0,0.012394,0,0
142000,0,0,0,0,0,,0,0,0,0,0,0
142200,0,0,0,0,0,,0,0,0,0,0,0
142400,0,0,0,0,0,,0,0,0,0,0,0
142600,0,0,0,0,0,,0,0,0,0,0,0
142800,0,0,0,0,0,,0,0,0,0,0,0
143000,0,0,0,0,0,,0,0,0,0,0,0
143200,0,0,0,0,0,,0,0,0,0,0,0
143400,0,0,0,0.00846,0,,0,0,0,0,0,0
143600,0,0,0,0,0,,0,0,0,0,0,0
143800,0,0,0,0,0,,0,0,0,0,0,0
144000,0,0,0,0,0,,0,0,0,0,0,0
144200,0,0,0,0,0,,0,0,0,0,0,0
144400,0,0.008022,0,0,0,,0,0,0,0,0,0
144600,0,0,0,0,0,,0,0,0,0,0,0
144800,0,0.008022,0,0,0,,0,0,0,0,0,0
145000,0,0,0,0,0,,0,0,0,0,0,0
145200,0,0,0,0,0,,0,0,0,0,0.007917,0
145400,0,0,0,0,0,,0,0,0,0,0,0
145600,0,0,0,0,0,,0,0,0,0,0,0
145800,0,0,0,0,0,,0,0,0,0,0,0
146000,0,0,0,0,0,,0,0,0,0,0,0
146200,0,0,0,0,0,,0,0,0,0,0,0
146400,0,0.008022,0.018706,0,0,,0,0,0,0,0,0
146600,0,0,0,0,0,,0,0,0,0,0,0
146800,0,0,0,0,0,,0,0,0,0,0,0
147000,0,0,0,0,0,,0,0,0,0,0,0
147200,0,0,0,0,0,,0,0,0,0,0,0
147400,0,0,0,0,0,,0,0,0.009558,0,0,0
147600,0,0,0,0,0,,0,0,0,0,0,0
147800,0,0,0,0,0,,0,0,0,0,0.007917,0
148000,0,0,0,0,0,,0,0,0,0,0,0
148200,0,0,0,0,0,,0,0,0,0,0,0
148400,0,0,0,0,0,,0,0,0,0,0,0
148600,0,0,0.018706,0,0,,0,0,0,0,0,0
148800,0,0,0,0,0,,0,0,0,0,0,0
