Bin Center, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days
11600,0.043263,0.048133,0.093532,0.059223,0.053932,,0.019689,0.075281,0.05735,0.074363,0.0475,0.061158
11800,0.086525,0.064177,0.037413,0.084604,0.053932,,0.059066,0.09679,0.047792,0.074363,0.079166,0.056062
12000,0.100946,0.016044,0.037413,0.050763,0.040449,,0.039377,0.043018,0.047792,0.086757,0.039583,0.030579
12200,0.115367,0.048133,0.056119,0.084604,0,,0.059066,0.075281,0.095583,0.049575,0.0475,0.061158
12400,0.086525,0.048133,0.056119,0.042302,0.013483,,0.019689,0.032263,0.095583,0.074363,0.0475,0.061158
12600,0.028842,0.016044,0.037413,0.050763,0.026966,,0,0.021509,0.095583,0.061969,0.055416,0.056062
12800,0.100946,0.064177,0.037413,0.076144,0.067415,,0,0.086035,0.05735,0.074363,0.079166,0.035676
13000,0.028842,0.080222,0.056119,0.042302,0.013483,,0.059066,0.043018,0.038233,0.049575,0.055416,0.045869
13200,0.043263,0.048133,0.037413,0.109985,0.026966,,0.078754,0.043018,0.066908,0.086757,0.039583,0.025483
13400,0.072104,0.048133,0,0.042302,0.026966,,0.059066,0.043018,0.05735,0.086757,0.0475,0.035676
13600,0.014421,0.024067,0.056119,0.033842,0.040449,,0.039377,0.075281,0.047792,0.049575,0.0475,0.076448
13800,0.028842,0.032089,0.056119,0.067683,0.026966,,0.019689,0.032263,0.076467,0.099151,0.079166,0.066255
14000,0.086525,0.056155,0.056119,0.050763,0.026966,,0.039377,0.053772,0.066908,0.049575,0.0475,0.025483
14200,0.057684,0.040111,0.018706,0.059223,0.013483,,0.019689,0.043018,0.028675,0.061969,0.031666,0.040772
14400,0.100946,0.032089,0,0.067683,0.026966,,0.118131,0.032263,0.028675,0.049575,0.02375,0.030579
14600,0.043263,0.016044,0.074826,0.076144,0,,0.039377,0.043018,0.028675,0.037182,0.031666,0.040772
14800,0.043263,0.056155,0.018706,0.076144,0,,0.059066,0.064526,0.028675,0.024788,0.031666,0.035676
15000,0.072104,0.064177,0.018706,0.033842,0.013483,,0.039377,0.043018,0.047792,0.061969,0.031666,0.030579
15200,0.086525,0.048133,0.056119,0.042302,0.026966,,0.039377,0.064526,0.05735,0.024788,0.071249,0.045869
15400,0.072104,0.056155,0.056119,0.042302,0.026966,,0,0.032263,0.038233,0.024788,0.039583,0.050965
15600,0.057684,0.040111,0,0.042302,0.013483,,0.078754,0.021509,0.038233,0.061969,0.02375,0.025483
15800,0.072104,0.024067,0.074826,0.059223,0.040449,,0.039377,0.064526,0.066908,0.024788,0.015833,0.030579
16000,0.028842,0.032089,0.037413,0.025381,0.026966,,0.039377,0.032263,0.047792,0.049575,0.0475,0.061158
16200,0.028842,0.032089,0,0.042302,0,,0.019689,0.064526,0.028675,0.024788,0.087083,0.030579
