Bin Center,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days
6400,0.041326,0.190546,0.251436,0.262805063,,,0.163668475,0.15319451,0.02347964,0.10070198,0.07328931,0.17853004,0.12532769,0.18094574,0.13308568,0.21485386,0.24003318,,0.079134,0.161558,0.130822,0.163313,,
6600,0.041326,0.201132,0.179597,0.189219645,,,0.081834238,0.1340452,0.09391857,0.1239409,0.08957582,0.17853004,0.12532769,0.25849391,0.11090473,0.12175052,0.19767439,,0.056524,0.175022,0.114469,0.136094,,
6800,0.165305,0.201132,0.089798,0.220756253,,,0.081834238,0.07659725,0.14087786,0.06197045,0.04885954,0.20828505,0.18799154,0.19387044,0.210719,0.1432359,0.21179399,,0.090439,0.107706,0.155351,0.244969,,
7000,0.082653,0.201132,0.215516,0.178707443,,,0.081834238,0.03829863,0.04695929,0.08520937,0.07328931,0.11902003,0.15665962,0.18094574,0.13308568,0.15755949,0.18355479,,0.158269,0.148095,0.08994,0.21775,,
7200,0.123979,0.201132,0.179597,0.199731848,,,0.081834238,0.05744794,0,0.09295567,0.08957582,0.05951001,0.15665962,0.14217165,0.07763331,0.18620668,0.22591359,,0.146964,0.175022,0.114469,0.108875,,
7400,0.082653,0.190546,0.143678,0.147170835,,,0.081834238,0.05744794,0.07043893,0.08520937,0.04071628,0.02975501,0.09399577,0.16802104,0.14417616,0.1432359,0.21179399,,0.124354,0.148095,0.081764,0.136094,,
7600,0,0.243476,0.161637,0.136658633,,,0,0.09574657,0.04695929,0.1239409,0.08143256,0.20828505,0,0.19387044,0.18853805,0.17188308,0.19767439,,0.04522,0.121169,0.08994,0.21775,,
7800,0.123979,0.127031,0.197557,0.21024405,,,0,0.09574657,0.07043893,0.04647784,0.05700279,0.02975501,0.18799154,0.10339757,0.15526663,0.17188308,0.21179399,,0.158269,0.161558,0.130822,0.081656,,
8000,0.123979,0.222304,0.125718,0.241780658,,,0.081834238,0.01914931,0.02347964,0.06971675,0.04885954,0.08926502,0.12532769,0.12924696,0.08872379,0.12891231,0.11295679,,0.124354,0.094242,0.032705,0.176922,,
8200,0.041326,0.105859,0.179597,0.178707443,,,0.081834238,0.05744794,0.04695929,0.07746306,0.08143256,0.05951001,0.09399577,0.15509635,0.12199521,0.19336847,0.16943519,,0.056524,0.161558,0.122645,0.054438,,
8400,0.082653,0.137617,0.143678,0.21024405,,,0.081834238,0.01914931,0.07043893,0.09295567,0.04885954,0.05951001,0.03133192,0.09047287,0.08872379,0.12175052,0.11295679,,0.02261,0.121169,0.073587,0.081656,,
8600,0.123979,0.137617,0.107758,0.105122025,,,0.163668475,0.03829863,0.02347964,0.06971675,0.07328931,0.08926502,0.09399577,0.15509635,0.06654284,0.13607411,0.14119599,,0.056524,0.080779,0.114469,0.163313,,
8800,0.082653,0.127031,0.053879,0.094609823,,,0.081834238,0.03829863,0,0.03098522,0.08143256,0.02975501,0.06266385,0.11632226,0.13308568,0.13607411,0.16943519,,0.067829,0.053853,0.057235,0.149703,,
9000,0.082653,0.116445,0.107758,0.115634228,,,0.163668475,0.03829863,0,0.05422414,0.03257303,0,0.03133192,0.14217165,0.11090473,0.07877975,0.14119599,,0.067829,0.134632,0.08994,0.21775,,
9200,0.123979,0.158789,0.143678,0.031536608,,,0.081834238,0.05744794,0.02347964,0.06197045,0.06514605,0.05951001,0.03133192,0.09047287,0.12199521,0.10742693,0.11295679,,0.079134,0.067316,0.065411,0.054438,,
9400,0.123979,0.137617,0.125718,0.178707443,,,0,0.03829863,0.04695929,0.03873153,0.02442977,0.05951001,0.15665962,0.11632226,0.07763331,0.07161795,0.11295679,,0.101744,0.107706,0.049058,0.136094,,
9600,0.082653,0.084687,0.089798,0.115634228,,,0.081834238,0.07659725,0.04695929,0.08520937,0.04071628,0.08926502,0.09399577,0.10339757,0.11090473,0.10742693,0.0564784,,0.067829,0.067316,0.065411,0.081656,,
9800,0.123979,0.169374,0.125718,0.147170835,,,0,0.1340452,0.02347964,0.04647784,0.08957582,0.05951001,0.06266385,0.15509635,0.12199521,0.13607411,0.08471759,,0.101744,0.080779,0.065411,0.040828,,
10000,0.041326,0.105859,0.107758,0.105122025,,,0.081834238,0.07659725,0,0.01549261,0.03257303,0.02975501,0.03133192,0.09047287,0.08872379,0.09310334,0.16943519,,0.033915,0.053853,0.049058,0.108875,,
10200,0,0.095273,0.125718,0.094609823,,,0,0.11489588,0,0.02323892,0.00814326,0.02975501,0.03133192,0.09047287,0.07763331,0.10742693,0.08471759,,0.04522,0.080779,0.065411,0.149703,,
10400,0.082653,0.116445,0.107758,0.094609823,,,0,0,0,0.07746306,0.03257303,0.05951001,0.09399577,0.18094574,0.09981426,0.10742693,0.14119599,,0.079134,0.067316,0.057235,0.027219,,
10600,0.041326,0.074101,0.053879,0.052561013,,,0.081834238,0.01914931,0.07043893,0.04647784,0.08143256,0.08926502,0.09399577,0.10339757,0.07763331,0.10026513,0.070598,,0.04522,0.067316,0.065411,0.108875,,
10800,0.123979,0.084687,0.107758,0.16819524,,,0.163668475,0,0,0.04647784,0.00814326,0.02975501,0.06266385,0.11632226,0.07763331,0.10026513,0.19767439,,0.090439,0.094242,0.073587,0.122484,,
11000,0.041326,0.137617,0.179597,0.105122025,,,0,0.03829863,0.02347964,0.02323892,0.04071628,0,0.03133192,0.07754817,0.02218095,0.07877975,0.12707639,,0,0.053853,0.024529,0.040828,,
11200,0.082653,0.063515,0.125718,0.12614643,,,0.081834238,0.03829863,0.02347964,0.03873153,0.03257303,0.08926502,0.09399577,0.09047287,0.13308568,0.12175052,0.0423588,,0.056524,0.134632,0.040882,0.108875,,
11400,0,0.148203,0.035919,0.115634228,,,0,0.09574657,0,0.01549261,0.04885954,0.11902003,0.12532769,0.05169878,0.07763331,0.08594154,0.08471759,,0.067829,0.04039,0.016353,0.040828,,
11600,0.041326,0.095273,0.053879,0.105122025,,,0,0.09574657,0,0.03098522,0.03257303,0,0,0.09047287,0.08872379,0.02864718,0.09883719,,0.056524,0.026926,0.024529,0.068047,,
11800,0.123979,0.084687,0.01796,0.105122025,,,0,0,0,0.04647784,0.03257303,0,0.06266385,0.06462348,0.02218095,0.10026513,0.070598,,0.090439,0.107706,0.008176,0.040828,,
12000,0.082653,0.063515,0.107758,0.063073215,,,0,0.05744794,0,0.03098522,0.01628651,0.08926502,0.06266385,0.09047287,0.04436189,0.05729436,0.11295679,,0.067829,0.013463,0.024529,0.054438,,
12200,0.082653,0.063515,0.089798,0.094609823,,,0,0.05744794,0,0.02323892,0.04885954,0.08926502,0.12532769,0.05169878,0.07763331,0.04297077,0.070598,,0.033915,0.04039,0.040882,0.081656,,
12400,0,0.116445,0.071839,0.04204881,,,0,0.05744794,0.04695929,0.04647784,0.02442977,0,0.09399577,0.03877409,0.08872379,0.07161795,0.08471759,,0.079134,0.013463,0.032705,0.122484,,
12600,0.123979,0.042344,0.053879,0.04204881,,,0,0,0,0.03873153,0.00814326,0.02975501,0,0.06462348,0.04436189,0.06445616,0.070598,,0.067829,0.053853,0.040882,0.040828,,
12800,0,0.063515,0.035919,0.052561013,,,0.081834238,0,0.04695929,0.03098522,0.02442977,0.05951001,0.09399577,0.06462348,0.04436189,0.04297077,0.0282392,,0.04522,0.026926,0.024529,0.040828,,
13000,0,0.042344,0.071839,0.073585418,,,0.081834238,0,0.02347964,0,0.03257303,0,0.09399577,0.07754817,0.05545237,0.06445616,0.0564784,,0.033915,0.026926,0.049058,0.054438,,
13200,0.041326,0.074101,0.053879,0.04204881,,,0,0.01914931,0.04695929,0.00774631,0.04885954,0,0.12532769,0.02584939,0.02218095,0.07877975,0.0141196,,0.033915,0.121169,0.040882,0.108875,,
13400,0.041326,0.095273,0.071839,0.073585418,,,0,0,0,0.00774631,0.00814326,0.02975501,0.06266385,0.03877409,0.09981426,0.05729436,0.070598,,0.02261,0.053853,0.040882,0.081656,,
13600,0.041326,0.084687,0.01796,0.04204881,,,0,0.01914931,0.02347964,0.02323892,0.01628651,0.02975501,0.06266385,0.05169878,0.02218095,0.06445616,0.0282392,,0.02261,0.080779,0.024529,0.095266,,
13800,0.041326,0.05293,0.01796,0.04204881,,,0.081834238,0.05744794,0.04695929,0.01549261,0.01628651,0.02975501,0.03133192,0.07754817,0.07763331,0.04297077,0.0282392,,0.056524,0.013463,0.040882,0.054438,,
14000,0.041326,0.05293,0.089798,0.073585418,,,0,0.05744794,0.02347964,0.04647784,0.00814326,0,0.09399577,0.03877409,0.04436189,0.03580898,0.070598,,0.04522,0.04039,0.016353,0.027219,,
14200,0.041326,0.084687,0.035919,0.063073215,,,0,0.03829863,0.04695929,0.01549261,0.00814326,0,0,0.02584939,0.07763331,0.02864718,0.070598,,0.033915,0.067316,0.032705,0.054438,,
14400,0.041326,0.031758,0.089798,0.031536608,,,0.081834238,0.01914931,0,0,0.02442977,0.05951001,0.03133192,0.0129247,0.06654284,0.02148539,0.070598,,0,0.026926,0.040882,0.027219,,
14600,0,0.042344,0.089798,0.04204881,,,0,0,0,0.01549261,0.01628651,0,0,0.07754817,0.05545237,0.03580898,0.0423588,,0.033915,0.013463,0.040882,0.040828,,
14800,0.082653,0.021172,0.107758,0.04204881,,,0,0,0,0.02323892,0.01628651,0.02975501,0.09399577,0.07754817,0.06654284,0.05729436,0.0423588,,0.056524,0.026926,0.040882,0.027219,,
15000,0.123979,0.063515,0.053879,0.08409762,,,0.081834238,0.07659725,0,0.00774631,0.01628651,0.02975501,0.09399577,0.05169878,0.04436189,0.02864718,0.0423588,,0.02261,0.094242,0.049058,0.040828,,
15200,0.041326,0.063515,0.053879,0.031536608,,,0,0.03829863,0.02347964,0.01549261,0.00814326,0,0.09399577,0.02584939,0.02218095,0.05013257,0.070598,,0.02261,0.053853,0.024529,0.040828,,
15400,0.041326,0.105859,0.071839,0.010512203,,,0.081834238,0,0.02347964,0.01549261,0.00814326,0,0.03133192,0.03877409,0.07763331,0.02148539,0.08471759,,0.04522,0.013463,0.008176,0.040828,,
15600,0.082653,0.063515,0.071839,0.063073215,,,0,0.01914931,0,0.03098522,0,0,0.09399577,0.02584939,0.04436189,0.02148539,0.0423588,,0.079134,0.026926,0.024529,0.027219,,
15800,0,0.074101,0.01796,0.063073215,,,0,0,0,0.02323892,0.02442977,0,0.06266385,0.05169878,0.02218095,0.03580898,0.0141196,,0.011305,0.026926,0.049058,0.027219,,
16000,0,0.042344,0.125718,0.031536608,,,0,0.01914931,0,0.02323892,0.00814326,0.02975501,0,0.06462348,0.06654284,0.04297077,0.0282392,,0.033915,0.04039,0.016353,0.027219,,
16200,0,0.042344,0.035919,0.04204881,,,0.081834238,0,0,0.03873153,0.00814326,0,0.03133192,0.03877409,0.03327142,0.0071618,0,,0.011305,0.053853,0.049058,0.013609,,
16400,0.123979,0.042344,0.053879,0.052561013,,,0,0,0,0.00774631,0.00814326,0.02975501,0,0.06462348,0.02218095,0.02148539,0.0141196,,0.02261,0.013463,0.008176,0.013609,,
16600,0,0.021172,0.01796,0.052561013,,,0,0.01914931,0,0.01549261,0.01628651,0,0,0.02584939,0.04436189,0.02148539,0.0282392,,0.033915,0,0.024529,0.040828,,
16800,0.041326,0.063515,0.053879,0.010512203,,,0,0,0,0.03873153,0.01628651,0.02975501,0,0.03877409,0.02218095,0.02864718,0.0282392,,0.04522,0.013463,0.008176,0.068047,,
17000,0,0.031758,0.053879,0.04204881,,,0,0.05744794,0,0.00774631,0.01628651,0,0,0.03877409,0.05545237,0.01432359,0.0564784,,0.033915,0.026926,0.016353,0.013609,,
17200,0,0.021172,0.053879,0.021024405,,,0.081834238,0,0,0.00774631,0.01628651,0,0.09399577,0.06462348,0.03327142,0.03580898,0.0564784,,0.033915,0.04039,0.024529,0.013609,,
17400,0.041326,0.084687,0.035919,0.052561013,,,0.081834238,0.01914931,0,0.01549261,0.00814326,0,0.03133192,0.02584939,0.04436189,0.07161795,0.0423588,,0.02261,0.080779,0,0,,
17600,0.041326,0.031758,0.035919,0.031536608,,,0,0,0,0.02323892,0.00814326,0,0.03133192,0.03877409,0.03327142,0.03580898,0.0423588,,0.033915,0.026926,0.024529,0.013609,,
17800,0.082653,0.031758,0.035919,0.052561013,,,0,0.01914931,0.02347964,0.01549261,0.03257303,0.02975501,0.03133192,0,0.04436189,0.01432359,0.0282392,,0.04522,0.013463,0.049058,0.013609,,
18000,0,0.042344,0.01796,0,,,0,0.01914931,0,0,0.00814326,0,0.06266385,0.03877409,0.04436189,0.02148539,0.0141196,,0.067829,0.013463,0.008176,0.081656,,
18200,0.041326,0.021172,0.053879,0.021024405,,,0,0,0,0.00774631,0.00814326,0.02975501,0.03133192,0.02584939,0.02218095,0.02148539,0.0282392,,0.011305,0.013463,0.032705,0.040828,,
18400,0,0.042344,0.01796,0.04204881,,,0.081834238,0,0,0.02323892,0.01628651,0,0.03133192,0.06462348,0.04436189,0.02864718,0.0564784,,0.033915,0.013463,0.016353,0,,
