Bin Center,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,p53 het,p53 het,p53 het,p53 het,p53 het,p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het
7200,0.158282,0.048646,0.213684,0.149867,0.094213,,0.123979,0.201132,0.179597,0.199731848,,,,,,,,,0.124319182,0.193006268,0.234764358,0.22804102,,
7400,0.118712,0.145939,0.106842,0.167159,0.14132,,0.082653,0.190546,0.143678,0.147170835,,,,,,,,,0.248638364,0.13786162,0.104339715,0.22804102,,
7600,0.197853,0.097293,0.183158,0.126811,0.208615,,0,0.243476,0.161637,0.136658633,,,,,,,,,0.165758909,0.13786162,0.221721894,0.275549566,,
7800,0.039571,0.097293,0.137368,0.126811,0.114402,,0.123979,0.127031,0.197557,0.21024405,,,,,,,,,0.124319182,0.193006268,0.208679429,0.285051275,,
8000,0.158282,0.145939,0.213684,0.126811,0.074025,,0.123979,0.222304,0.125718,0.241780658,,,,,,,,,0.062159591,0.110289296,0.182594501,0.218539311,,
8200,0.197853,0.097293,0.137368,0.115282,0.13459,,0.041326,0.105859,0.179597,0.178707443,,,,,,,,,0.145039046,0.082716972,0.182594501,0.275549566,,
8400,0.118712,0.097293,0.152632,0.109518,0.107672,,0.082653,0.137617,0.143678,0.21024405,,,,,,,,,0.082879455,0.027572324,0.143467108,0.23754273,,
8600,0.118712,0.097293,0.137368,0.126811,0.148049,,0.123979,0.137617,0.107758,0.105122025,,,,,,,,,0.082879455,0.13786162,0.169552036,0.22804102,,
8800,0.079141,0.048646,0.106842,0.144103,0.067295,,0.082653,0.127031,0.053879,0.094609823,,,,,,,,,0.124319182,0.082716972,0.117382179,0.199535893,,
9000,0,0.048646,0.106842,0.103754,0.094213,,0.082653,0.116445,0.107758,0.115634228,,,,,,,,,0.124319182,0.220578592,0.104339715,0.171030765,,
9200,0.039571,0.048646,0.152632,0.132575,0.100943,,0.123979,0.158789,0.143678,0.031536608,,,,,,,,,0.103599318,0.193006268,0.117382179,0.180532474,,
9400,0.158282,0.097293,0.030526,0.080698,0.087484,,0.123979,0.137617,0.125718,0.178707443,,,,,,,,,0.186478773,0.13786162,0.09129725,0.142525638,,
9600,0.039571,0.048646,0.137368,0.051877,0.114402,,0.082653,0.084687,0.089798,0.115634228,,,,,,,,,0.165758909,0,0.130424643,0.247044439,,
9800,0.118712,0.048646,0.091579,0.074933,0.067295,,0.123979,0.169374,0.125718,0.147170835,,,,,,,,,0.103599318,0.110289296,0.117382179,0.190034184,,
