Bin Center,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,Kras,Kras,Kras,Kras,Kras,Kras,over,over,over,over,over,over,time,time,time,time,time,time
9400,0.100723953,,0.050145083,0.015176882,0.095937774,,0.100723953,0.020015523,0.050145083,0.015176882,,,,,,,,,,,,,,
9600,0.075542965,,0.100290166,0.030353765,0.103317603,,0.075542965,0.040031045,0.100290166,0.030353765,,,,,,,,,,,,,,
9800,0.037771483,,0.087753895,0.06070753,0.103317603,,0.037771483,0,0.087753895,0.06070753,,,,,,,,,,,,,,
10000,0.113314448,,0.037608812,0.030353765,0.066418459,,0.113314448,0,0.037608812,0.030353765,,,,,,,,,,,,,,
10200,0.100723953,,0.050145083,0.045530647,0.044278973,,0.100723953,0.040031045,0.050145083,0.045530647,,,,,,,,,,,,,,
10400,0.113314448,,0.062681354,0.045530647,0.036899144,,0.113314448,0,0.062681354,0.045530647,,,,,,,,,,,,,,
10600,0.075542965,,0.050145083,0.030353765,0.044278973,,0.075542965,0.040031045,0.050145083,0.030353765,,,,,,,,,,,,,,
10800,0.062952471,,0.100290166,0.121415059,0.051658801,,0.062952471,0.040031045,0.100290166,0.121415059,,,,,,,,,,,,,,
11000,0.050361977,,0.087753895,0,0.073798288,,0.050361977,0,0.087753895,0,,,,,,,,,,,,,,
11200,0.100723953,,0.075217625,0.015176882,0.05903863,,0.100723953,0,0.075217625,0.015176882,,,,,,,,,,,,,,
11400,0.075542965,,0.050145083,0.030353765,0.014759658,,0.075542965,0.020015523,0.050145083,0.030353765,,,,,,,,,,,,,,
11600,0.050361977,,0.062681354,0.030353765,0.088557945,,0.050361977,0,0.062681354,0.030353765,,,,,,,,,,,,,,
11800,0.075542965,,0.087753895,0.030353765,0.05903863,,0.075542965,0,0.087753895,0.030353765,,,,,,,,,,,,,,
12000,0.050361977,,0.025072542,0.075884412,0.051658801,,0.050361977,0.020015523,0.025072542,0.075884412,,,,,,,,,,,,,,
12200,0.025180988,,0.050145083,0.045530647,0.051658801,,0.025180988,0,0.050145083,0.045530647,,,,,,,,,,,,,,
12400,0.050361977,,0.062681354,0.015176882,0.029519315,,0.050361977,0.040031045,0.062681354,0.015176882,,,,,,,,,,,,,,
12600,0.100723953,,0.025072542,0.045530647,0.051658801,,0.100723953,0.040031045,0.025072542,0.045530647,,,,,,,,,,,,,,
12800,0.050361977,,0.050145083,0.015176882,0.044278973,,0.050361977,0.08006209,0.050145083,0.015176882,,,,,,,,,,,,,,
13000,0.012590494,,0.025072542,0.030353765,0.044278973,,0.012590494,0.040031045,0.025072542,0.030353765,,,,,,,,,,,,,,
13200,0.075542965,,0.037608812,0.030353765,0.007379829,,0.075542965,0,0.037608812,0.030353765,,,,,,,,,,,,,,
13400,0.025180988,,0.062681354,0.030353765,0.036899144,,0.025180988,0,0.062681354,0.030353765,,,,,,,,,,,,,,
13600,0.050361977,,0.112826437,0.015176882,0.066418459,,0.050361977,0.020015523,0.112826437,0.015176882,,,,,,,,,,,,,,
13800,0.100723953,,0.037608812,0.06070753,0.029519315,,0.100723953,0.020015523,0.037608812,0.06070753,,,,,,,,,,,,,,
14000,0.012590494,,0.037608812,0,0.014759658,,0.012590494,0.020015523,0.037608812,0,,,,,,,,,,,,,,
14200,0.062952471,,0.037608812,0,0.029519315,,0.062952471,0.020015523,0.037608812,0,,,,,,,,,,,,,,
14400,0.088133459,,0.050145083,0.06070753,0.022139486,,0.088133459,0,0.050145083,0.06070753,,,,,,,,,,,,,,
14600,0.075542965,,0.025072542,0.030353765,0.051658801,,0.075542965,0,0.025072542,0.030353765,,,,,,,,,,,,,,
14800,0.012590494,,0.037608812,0.015176882,0.029519315,,0.012590494,0,0.037608812,0.015176882,,,,,,,,,,,,,,
15000,0.037771483,,0.012536271,0.045530647,0.036899144,,0.037771483,0,0.012536271,0.045530647,,,,,,,,,,,,,,
15200,0.037771483,,0.012536271,0.030353765,0.014759658,,0.037771483,0.020015523,0.012536271,0.030353765,,,,,,,,,,,,,,
15400,0.037771483,,0.037608812,0.015176882,0.029519315,,0.037771483,0.020015523,0.037608812,0.015176882,,,,,,,,,,,,,,
15600,0.050361977,,0.037608812,0.045530647,0.014759658,,0.050361977,0,0.037608812,0.045530647,,,,,,,,,,,,,,
15800,0.025180988,,0.025072542,0.030353765,0.007379829,,0.025180988,0,0.025072542,0.030353765,,,,,,,,,,,,,,
16000,0.050361977,,0,0,0.036899144,,0.050361977,0,0,0,,,,,,,,,,,,,,
16200,0.075542965,,0.050145083,0.030353765,0.036899144,,0.075542965,0,0.050145083,0.030353765,,,,,,,,,,,,,,
16400,0.037771483,,0,0.015176882,0.014759658,,0.037771483,0,0,0.015176882,,,,,,,,,,,,,,
16600,0.062952471,,0.025072542,0.030353765,0.036899144,,0.062952471,0,0.025072542,0.030353765,,,,,,,,,,,,,,
16800,0.037771483,,0.012536271,0.015176882,0.007379829,,0.037771483,0,0.012536271,0.015176882,,,,,,,,,,,,,,
17000,0.037771483,,0.025072542,0,0.051658801,,0.037771483,0.060046568,0.025072542,0,,,,,,,,,,,,,,
17200,0.025180988,,0.025072542,0,0.044278973,,0.025180988,0.020015523,0.025072542,0,,,,,,,,,,,,,,
17400,0.050361977,,0,0.030353765,0.036899144,,0.050361977,0,0,0.030353765,,,,,,,,,,,,,,
17600,0.062952471,,0.025072542,0,0.022139486,,0.062952471,0,0.025072542,0,,,,,,,,,,,,,,
17800,0.025180988,,0.037608812,0.015176882,0.022139486,,0.025180988,0.020015523,0.037608812,0.015176882,,,,,,,,,,,,,,
18000,0.062952471,,0.012536271,0.030353765,0.036899144,,0.062952471,0,0.012536271,0.030353765,,,,,,,,,,,,,,
18200,0.025180988,,0,0.015176882,0.051658801,,0.025180988,0,0,0.015176882,,,,,,,,,,,,,,
18400,0.037771483,,0,0.030353765,0.022139486,,0.037771483,0,0,0.030353765,,,,,,,,,,,,,,
18600,0.025180988,,0.037608812,0.015176882,0.044278973,,0.025180988,0,0.037608812,0.015176882,,,,,,,,,,,,,,
18800,0.050361977,,0.037608812,0,0.014759658,,0.050361977,0.020015523,0.037608812,0,,,,,,,,,,,,,,
19000,0.012590494,,0.025072542,0.015176882,0.022139486,,0.012590494,0,0.025072542,0.015176882,,,,,,,,,,,,,,
19200,0.012590494,,0.012536271,0,0.044278973,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
19400,0.037771483,,0,0,0.036899144,,0.037771483,0,0,0,,,,,,,,,,,,,,
19600,0.050361977,,0.037608812,0.030353765,0.014759658,,0.050361977,0,0.037608812,0.030353765,,,,,,,,,,,,,,
19800,0,,0.037608812,0.015176882,0.022139486,,0,0,0.037608812,0.015176882,,,,,,,,,,,,,,
20000,0.050361977,,0.037608812,0,0,,0.050361977,0,0.037608812,0,,,,,,,,,,,,,,
20200,0.025180988,,0.037608812,0.015176882,0.029519315,,0.025180988,0,0.037608812,0.015176882,,,,,,,,,,,,,,
20400,0.037771483,,0,0.030353765,0.014759658,,0.037771483,0,0,0.030353765,,,,,,,,,,,,,,
20600,0.025180988,,0.025072542,0,0.007379829,,0.025180988,0.020015523,0.025072542,0,,,,,,,,,,,,,,
